Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
30-May,,"268,867","2,117,180"
31-May,,"352,947","2,555,578"
1-Jun,,"353,261","2,499,002"
2-Jun,,"267,742","2,247,421"
3-Jun,,"304,436","2,370,152"
4-Jun,,"391,882","2,623,947"
5-Jun,,"419,675","2,649,808"
6-Jun,,"353,016","2,225,952"
7-Jun,,"441,255","2,669,860"
8-Jun,,"430,414","2,644,981"
9-Jun,,"338,382","2,433,189"
10-Jun,,"386,969","2,509,058"
11-Jun,,"502,209","2,675,686"
12-Jun,,"519,304","2,727,860"
13-Jun,,"437,119","2,318,946"
14-Jun,,"544,046","2,642,083"
15-Jun,,"534,528","2,699,580"
16-Jun,,"417,924","2,466,574"
17-Jun,,"441,829","2,552,395"
18-Jun,,"576,514","2,728,786"
19-Jun,,"587,908","2,772,903"
20-Jun,,"507,129","2,378,559"
21-Jun,,"590,456","2,719,643"
22-Jun,,"607,540","2,716,428"
23-Jun,,"471,421","2,506,510"
24-Jun,,"494,826","2,594,661"
25-Jun,,"623,624","2,711,222"
26-Jun,,"632,984","2,730,515"
27-Jun,,"546,310","2,368,846"
28-Jun,,"633,810","2,632,030"
29-Jun,,"625,235","2,455,536"
30-Jun,,"500,054","2,347,767"
1-Jul,,"626,516","2,547,889"
2-Jul,,"764,761","2,088,760"
3-Jul,,"718,988","2,184,253"
4-Jul,,"466,669","2,345,846"
5-Jul,,"732,123","2,795,369"
6-Jul,,"755,555","2,748,718"
7-Jul,,"641,761","2,506,859"
8-Jul,,"632,498","2,515,902"
9-Jul,,"709,653","2,608,209"
10-Jul,,"711,124","2,716,812"
11-Jul,,"656,284","2,312,178"
12-Jul,,"754,545","2,669,717"
13-Jul,,"697,985","2,615,115"
14-Jul,,"540,268","2,447,177"
15-Jul,,"589,285","2,522,563"
16-Jul,,"706,164","2,716,828"
17-Jul,,"720,378","2,776,960"
18-Jul,,"646,654","2,396,462"
19-Jul,,"747,422","2,727,355"
20-Jul,,"695,330","2,635,312"
21-Jul,,"530,421","2,499,460"
22-Jul,,"570,951","2,561,911"
23-Jul,,"704,815","2,705,399"
24-Jul,,"724,770","2,732,770"
25-Jul,,"649,027","2,364,925"
26-Jul,,"751,205","2,700,723"
27-Jul,,"700,043","2,613,346"
28-Jul,,"536,756","2,438,967"
29-Jul,,"573,200","2,542,365"
30-Jul,,"718,310","2,742,882"
31-Jul,,"767,320","2,730,936"
1-Aug,,"709,033","2,367,967"
2-Aug,,"799,861","2,688,640"
3-Aug,,"737,235","2,619,406"
4-Aug,,"543,601","2,387,115"
5-Aug,,"595,739","2,430,094"
6-Aug,,"743,599","2,707,986"
7-Aug,,"762,547","2,725,000"
8-Aug,,"683,212","2,290,340"
9-Aug,,"831,789","2,647,897"
10-Aug,,"761,861","2,567,986"
11-Aug,,"559,420","2,306,829"
12-Aug,,"590,749","2,391,906"
13-Aug,,"761,821","2,602,446"
14-Aug,,"783,744","2,627,564"
15-Aug,,"689,895","2,171,962"
16-Aug,,"862,949","2,584,444"
17-Aug,,"773,319","2,576,965"
18-Aug,,"565,946","2,247,446"
19-Aug,,"586,718","2,306,838"
20-Aug,,"772,380","2,533,184"
21-Aug,,"764,468","2,559,244"
22-Aug,,"625,822","2,039,233"
23-Aug,,"841,806","2,493,162"
24-Aug,,"726,788","2,358,007"
25-Aug,,"523,186","2,015,088"
26-Aug,,"540,043","2,188,688"
27-Aug,,"721,060","2,561,109"
28-Aug,,"738,873","2,658,558"
29-Aug,,"591,734","1,954,902"
30-Aug,,"807,695","1,887,845"
31-Aug,,"711,178","2,278,159"
1-Sep,,"516,068","2,037,750"
2-Sep,,"578,131","1,889,044"
3-Sep,,"877,698","2,109,858"
4-Sep,,"968,673","2,198,828"
5-Sep,,"664,640","1,755,502"
6-Sep,,"689,630","2,370,003"
7-Sep,,"935,308","2,292,985"
8-Sep,,"704,075","1,943,379"
9-Sep,,"616,923","2,005,867"
10-Sep,,"755,051","2,449,302"
11-Sep,,"731,353","2,484,025"
12-Sep,,"613,703","1,879,822"
13-Sep,,"809,850","2,485,134"
14-Sep,,"729,558","2,405,832"
15-Sep,,"522,383","2,013,050"
16-Sep,,"577,847","2,146,857"
17-Sep,,"784,746","2,455,410"
18-Sep,,"812,214","2,571,924"
19-Sep,,"638,575","1,938,402"
20-Sep,,"847,968","2,517,826"
21-Sep,,"769,936","2,431,388"
22-Sep,,"549,741","2,033,490"
23-Sep,,"608,726","2,188,236"
24-Sep,,"826,316","2,510,926"
25-Sep,,"826,329","2,547,611"
26-Sep,,"659,350","1,966,234"
27-Sep,,"873,038","2,452,596"
28-Sep,,"797,699","2,368,818"
29-Sep,,"568,688","1,998,980"
30-Sep,,"634,046","2,082,179"
1-Oct,,"855,908","2,447,687"
2-Oct,,"857,186","2,526,835"
3-Oct,,"677,661","1,921,185"
4-Oct,,"900,911","2,542,118"
5-Oct,,"816,838","2,400,153"
6-Oct,,"590,766","2,035,628"
7-Oct,,"668,519","2,215,233"
8-Oct,,"936,915","2,605,291"
9-Oct,,"968,545","2,688,032"
10-Oct,,"769,868","2,074,718"
11-Oct,,"984,234","2,555,333"
12-Oct,,"958,440","2,616,771"
13-Oct,,"680,894","2,313,632"
14-Oct,,"717,940","2,317,763"
15-Oct,,"950,024","2,581,007"
16-Oct,,"973,046","2,637,667"
17-Oct,,"788,743","2,049,855"
18-Oct,,"1,031,505","2,606,266"
19-Oct,,"921,031","2,514,673"
20-Oct,,"662,484","2,126,637"
21-Oct,,"694,150","2,245,199"
22-Oct,,"934,386","2,541,581"
23-Oct,,"958,437","2,594,337"
24-Oct,,"755,287","1,931,971"
25-Oct,,"983,745","2,478,287"
26-Oct,,"898,735","2,347,017"
27-Oct,,"648,517","1,910,506"
28-Oct,,"666,957","2,066,516"
29-Oct,,"873,636","2,047,910"
30-Oct,,"892,712","2,319,906"
31-Oct,,"618,476","1,836,781"
1-Nov,,"936,092","2,459,525"
2-Nov,,"846,138","2,403,304"
3-Nov,,"575,829","2,005,101"
4-Nov,,"636,533","2,147,882"
5-Nov,,"867,105","2,507,365"
6-Nov,,"895,091","2,544,350"
7-Nov,,"689,951","1,908,805"
8-Nov,,"973,020","2,356,349"
9-Nov,,"836,600","2,465,392"
10-Nov,,"596,475","2,150,003"
11-Nov,,"674,633","2,072,207"
12-Nov,,"866,679","2,364,920"
13-Nov,,"881,579","2,437,211"
14-Nov,,"697,360","1,807,230"
15-Nov,,"978,297","2,396,681"
